nL,nH,mu,obs_best_thr,obs_best_cwmin,obs_best_cwmax,obs_best_jain,model_best_thr,model_best_cwmin,model_best_cwmax,model_best_jain
2,8,0.0,75.922581,15.0,512.0,0.981675,80.72220680297352,15.0,1023.0,0.9744637569577699
2,8,0.001,73.55871,15.0,256.0,0.969483,78.7631028602368,15.0,1023.0,0.959397539927845
2,8,0.01,62.421935,7.0,128.0,0.955702,79.48619469713567,15.0,1023.0,0.96549558522638
2,8,0.05,75.904774,15.0,512.0,0.965701,80.59845066863772,15.0,1023.0,0.9736440949200892
2,8,0.1,75.432,15.0,1023.0,0.98566,80.66076046690111,15.0,1023.0,0.9740588851826744
5,5,0.0,65.651097,15.0,256.0,0.967005,71.93831580860655,15.0,1023.0,0.969648487438578
5,5,0.001,65.461419,15.0,512.0,0.959117,,,,
5,5,0.01,65.015742,15.0,1023.0,0.957993,72.45212825568152,15.0,1023.0,0.9512405059781791
5,5,0.05,66.503226,15.0,512.0,0.966642,71.98976145539535,15.0,1023.0,0.9679691615273756
5,5,0.1,65.844645,15.0,1023.0,0.975416,71.96385916061098,15.0,1023.0,0.9688194887708826
8,2,0.0,58.883613,15.0,1023.0,0.961955,62.174057490933784,15.0,1023.0,0.9642088388218462
8,2,0.001,,,,,,,,
8,2,0.01,49.507871,7.0,128.0,0.951322,,,,
8,2,0.05,57.261161,15.0,256.0,0.958031,62.14948440374182,15.0,1023.0,0.9615522759915531
8,2,0.1,49.986065,7.0,128.0,0.967741,62.16185667210539,15.0,1023.0,0.9628973035217626
